Country,Infants exclusively breastfed (% ages 0Ð5 months) 2008Ð2013,Infants lacking immunization (% of one-year-olds) DTP 2013,Infants lacking immunization (% of one-year-olds) Measles 2013,"Mortality rates (per 1,000 live births) Infant 2013","Mortality rates (per 1,000 live births) Under-five 2013",Child malnutrition (% under age 5) Stunting (moderate or severe) 2008Ð2013,"Adult mortality rate (per 1,000 people) Female 2013","Adult mortality rate (per 1,000 people) Male 2013","Deaths due to Malaria (per 100,000 people) 2012","Deaths due to Tuberculosis (per 100,000 people) 2012","HIV prevalence, adult (% ages 15Ð49) 2013",Life expectancy at age 60 (years) 2010/2015,"Physicians (per 10,000 people) 2001Ð2013",Public health expenditure (% of GDP) 2013
Norway,,1,7,2.3,2.8,,47,73,,0.1,,24.0,37.4,9.6
Netherlands,,1,4,3.3,4.0,,54,69,,0.2,,23.5,31.5,12.9
Sweden,,1,3,2.4,3.0,,43,69,,0.1,,24.1,32.7,9.7
Korea (Republic of),,1,1,3.2,3.7,2.5,38,93,0.0,5.4,,24.0,21.4,7.2
Luxembourg,,1,5,1.6,2.0,,50,79,,0.4,,23.4,28.2,7.1
Japan,,1,5,2.1,2.9,,42,81,,1.7,,26.1,23.0,10.3
Belgium,,1,8,3.5,4.4,,57,98,,0.4,,23.6,29.9,11.2
France,,1,11,3.5,4.2,,52,109,,0.5,,25.1,31.8,11.7
Finland,,1,3,2.1,2.6,,51,114,,0.3,,23.8,29.1,9.4
Italy,,1,10,3.0,3.6,,38,69,,0.4,0.3,24.7,40.9,9.1
Czech Republic,,1,1,2.9,3.6,2.6,57,127,,0.4,0.1,21.1,36.2,7.2
Greece,,1,1,3.7,4.4,,41,98,,0.7,,23.5,43.8,9.8
Cyprus,,1,14,2.8,3.6,,36,75,,0.2,0.1,22.0,22.9,7.4
Qatar,,1,1,7.0,8.2,11.6,50,72,,0.2,,21.2,77.4,2.2
Slovakia,,1,2,6.0,7.2,,67,168,,0.6,,19.8,30.0,8.2
Poland,,1,2,4.5,5.2,,70,186,,1.8,,21.1,22.0,6.7
Malta,,1,1,5.3,6.1,,41,75,,0.4,,22.3,35.0,8.7
Portugal,,1,2,3.1,3.8,,48,111,,1.3,,23.2,34.2,9.7
Hungary,,1,1,5.2,6.1,,91,201,,0.7,,19.9,29.6,8.0
Bahrain,,1,1,5.2,6.1,13.6,54,70,,0.3,,19.5,9.1,4.9
Kuwait,,1,1,8.1,9.5,4.3,42,59,,0.9,,17.6,17.9,2.9
Belarus,19.0,1,1,3.7,4.9,4.5,100,299,,6.0,0.5,17.1,37.6,6.1
Oman,,1,1,9.8,11.4,9.8,73,116,,0.9,,20.5,22.2,2.6
Bahamas,,1,8,10.4,12.9,,88,141,,0.4,3.2,22.3,28.2,7.3
Kazakhstan,31.8,1,1,14.6,16.3,13.1,146,322,,7.8,,16.5,35.8,4.3
Antigua and Barbuda,,1,2,7.7,9.3,,145,201,,1.4,,21.5,,4.9
Palau,,1,1,15.1,17.5,,106,156,,4.4,,,13.8,9.9
Malaysia,,1,5,7.2,8.5,17.2,86,169,1.0,5.4,0.4,19.0,12.0,4.0
Mauritius,21.0,1,1,12.5,14.3,13.6,95,202,,1.0,1.1,19.3,10.6,4.8
Seychelles,,1,3,12.2,14.2,7.7,99,214,,1.8,,19.4,15.1,4.0
Turkey,41.6,1,2,16.5,19.2,12.3,73,147,0.0,0.5,,20.9,17.1,5.6
Sri Lanka,75.8,1,1,8.2,9.6,14.7,75,184,0.0,1.1,0.1,19.6,6.8,3.2
Brazil,38.6,1,1,12.3,13.7,7.1,97,197,0.6,2.5,0.5,21.8,18.9,9.7
Georgia,54.8,1,4,11.7,13.1,11.3,66,174,0.0,4.5,0.3,19.8,42.4,9.4
Saint Kitts and Nevis,,1,1,7.8,10.2,,79,165,,2.5,,,11.7,6.3
Grenada,,1,6,10.7,11.8,,120,194,,1.0,,18.5,6.6,6.3
Jordan,22.7,1,3,16.0,18.7,7.8,96,131,,0.5,,19.0,25.6,7.2
The former Yugoslav Republic of Macedonia,23.0,1,4,5.8,6.6,4.9,71,134,,0.8,0.1,19.1,26.2,6.4
Algeria,6.9,1,5,21.6,25.2,15.9,121,164,0.0,15.0,0.1,17.9,12.1,6.6
Albania,38.6,1,1,13.3,14.9,23.1,85,118,,0.3,0.1,21.1,11.5,5.9
Ecuador,40.0,1,3,19.1,22.5,25.3,85,157,0.0,2.7,0.4,23.6,16.9,6.4
Saint Lucia,,1,1,12.7,14.5,2.5,85,177,,1.2,,21.0,4.7,8.5
China,27.6,1,1,10.9,12.7,9.4,76,103,0.0,3.2,,19.5,14.6,5.6
Fiji,39.8,1,6,20.0,23.6,7.5,143,239,,1.7,0.1,17.0,4.3,4.1
Thailand,12.3,1,1,11.3,13.1,16.3,90,177,0.9,14.0,1.1,21.4,3.9,4.6
Libya,,1,2,12.4,14.5,21.0,80,117,,6.8,,19.7,19.0,4.3
Tunisia,8.5,1,6,13.1,15.2,10.1,69,130,,2.9,0.1,20.2,12.2,7.1
Tonga,52.2,1,1,10.4,12.1,2.2,245,115,,2.5,,18.6,5.6,4.7
Maldives,47.8,1,1,8.4,9.9,20.3,55,86,,2.0,0.1,21.0,14.2,10.8
Samoa,51.3,1,1,15.5,18.1,6.4,97,166,,3.2,,18.9,4.5,7.5
Turkmenistan,13.0,1,1,46.6,55.2,28.1,200,376,,8.4,,17.0,41.8,2.0
"Palestine, State of",28.8,1,1,18.6,21.8,10.9,,,,0.2,,18.7,,
Uzbekistan,26.4,1,3,36.7,42.5,19.6,130,210,,2.1,0.2,18.3,23.8,6.1
Nicaragua,30.6,1,1,20.0,23.5,23.0,116,200,0.1,3.1,0.2,22.2,3.7,8.3
Morocco,31.0,1,1,26.1,30.4,14.9,121,170,,9.2,0.2,17.9,6.2,6.0
Bangladesh,64.1,1,7,33.2,41.1,41.4,126,156,13.9,45.0,0.1,18.4,3.6,3.7
Sao Tome and Principe,51.4,1,9,36.7,51.0,31.6,168,221,42.5,16.0,0.6,18.2,4.9,6.9
Swaziland,44.1,1,15,55.9,80.0,31.0,496,515,1.2,63.0,27.4,16.3,1.7,8.4
Tanzania (United Republic of),49.8,1,1,36.4,51.8,34.8,244,314,50.5,13.0,5.0,17.9,0.1,7.3
Rwanda,84.9,1,3,37.1,52.0,44.3,196,246,33.2,10.0,2.9,17.8,0.6,11.1
Sudan,41.0,1,15,51.2,76.6,35.0,212,274,16.5,22.0,0.2,17.4,2.8,6.5
Gambia,33.5,1,4,49.4,73.8,23.4,240,295,83.7,51.0,1.2,15.2,1.1,6.0
Monaco,,1,1,3.0,3.7,,48,105,,0.1,,,71.7,4.0
Tuvalu,34.7,1,4,24.4,29.2,10.0,182,236,,37.0,,,10.9,19.7
Switzerland,,2,7,3.6,4.2,,40,66,,0.2,0.3,25.0,39.4,11.5
Germany,,2,3,3.2,3.9,1.3,50,92,,0.4,,23.5,38.1,11.3
Ireland,,2,7,3.2,3.8,,49,82,,0.4,,23.4,27.2,8.9
United States,,2,9,5.9,6.9,2.1,76,128,,0.1,,23.2,24.5,17.1
Canada,,2,5,4.6,5.2,,52,81,,0.2,,24.4,20.7,10.9
Singapore,,2,5,2.2,2.8,4.4,38,69,,1.7,,24.5,19.2,4.6
United Kingdom,,2,5,3.9,4.6,,55,88,,0.5,0.3,23.5,27.9,9.1
Slovenia,,2,6,2.3,2.9,,49,112,,1.0,,22.8,25.2,9.2
Spain,,2,5,3.6,4.2,,40,86,,0.6,0.4,24.8,37.0,8.9
Andorra,,2,5,2.2,3.0,,43,90,,0.9,,,37.0,8.1
Saudi Arabia,,2,2,13.4,15.5,9.3,67,89,0.0,3.9,,19.2,7.7,3.2
Croatia,,2,6,3.8,4.5,,58,135,,1.4,,20.6,28.4,7.3
Montenegro,19.3,2,12,4.9,5.3,9.4,79,152,,0.2,,19.2,19.8,6.5
Uruguay,,2,4,9.5,11.1,10.7,79,148,,1.5,0.7,21.8,37.4,8.8
Serbia,13.7,2,8,5.8,6.6,6.6,84,172,,1.5,0.1,18.7,21.1,10.6
Cuba,48.6,2,1,5.0,6.2,7.0,73,115,,0.3,0.2,22.9,67.2,8.8,
Costa Rica,32.5,2,9,8.4,9.6,5.6,64,111,0.0,0.8,0.2,23.8,11.1,9.9,
Iran (Islamic Republic of),53.1,2,2,14.4,16.8,6.8,83,153,0.0,2.9,0.1,19.9,8.9,6.7,
Mongolia,65.7,2,3,26.4,31.8,15.9,148,309,,7.2,0.1,16.3,27.6,6.0,
Dominica,,2,7,10.2,11.4,,116,219,,2.0,,,15.9,6.0,
Botswana,20.3,2,6,36.3,46.6,31.4,254,321,0.4,21.0,21.9,16.4,3.4,5.4,
Indonesia,41.5,2,16,24.5,29.3,36.4,121,176,9.8,27.0,0.5,17.8,2.0,3.1,
Philippines,34.0,2,10,23.5,29.9,30.3,136,255,0.1,24.0,,17.0,11.5,4.4,
Bolivia (Plurinational State of),60.4,2,5,31.2,39.1,27.2,172,247,0.1,21.0,0.2,18.6,4.7,6.1,
Kyrgyzstan,56.1,2,1,21.6,24.2,17.8,130,272,0.0,9.5,0.2,16.8,19.6,6.7,
Micronesia (Federated States of),,2,9,29.8,36.4,,154,181,,24.0,,17.3,1.8,12.6,
Guyana,33.2,2,1,29.9,36.6,19.5,256,377,23.6,15.0,1.4,16.6,2.1,6.5,
Tajikistan,34.3,2,8,40.9,47.7,26.8,153,176,0.0,7.6,0.3,18.2,19.0,6.8,
Zimbabwe,31.4,2,7,55.0,88.5,32.3,288,385,18.4,33.0,15.0,18.8,0.6,,
Sierra Leone,31.6,2,17,107.2,160.6,44.9,423,444,108.7,143.0,1.6,12.5,0.2,11.8,
Burundi,69.3,2,2,54.8,82.9,57.5,300,359,63.7,18.0,1.0,16.0,0.3,8.0,
Nauru,67.2,2,4,29.9,36.6,24.0,44,88,,9.5,,,7.1,
High human development,30.0,2,3,12.0,13.9,10.6,85,143,,4.2,0.4,20.0,17.6,6.2
Very high human development,,2,7,5.1,6.0,,57,106,,0.9,0.3,23.0,27.9,12.2
East Asia and the Pacific,30.7,3,5,16.1,19.5,18.1,89,130,1.8,10.2,0.6,18.5,12.2,5.3
Europe and Central Asia,32.1,3,5,20.9,23.8,14.3,102,216,,5.2,0.4,18.7,25.9,5.9
Denmark,,3,11,2.9,3.5,,60,100,,0.4,0.2,22.4,34.2,10.6
Iceland,,3,9,1.6,2.1,,37,61,,0.3,,24.3,34.8,9.1
Lithuania,,3,7,4.0,4.9,,88,254,,3.0,,19.1,41.2,6.2
Russian Federation,,3,2,8.6,10.1,,126,339,,13.0,,17.5,43.1,6.5
Peru,72.3,3,15,12.9,16.7,18.4,90,116,0.7,5.1,0.3,21.5,11.3,5.3
Armenia,34.6,3,3,14.0,15.6,20.8,95,227,,6.3,0.2,20.0,26.9,4.5
Colombia,42.8,3,8,14.5,16.9,12.7,73,148,0.9,1.6,0.5,21.3,14.7,6.8
Jamaica,23.8,3,6,14.3,16.6,4.8,105,173,,0.2,1.8,21.3,4.1,5.8
Egypt,53.2,3,4,18.6,21.8,30.7,117,193,,0.5,0.1,17.5,28.3,5.1
El Salvador,31.4,3,6,13.5,15.7,20.6,136,290,0.0,1.0,0.5,22.0,16.0,6.9
Guatemala,49.6,3,15,25.8,31.0,48.0,126,236,0.0,2.1,0.6,21.5,9.3,6.5
Bhutan,48.7,3,6,29.7,36.2,33.6,212,219,0.0,14.0,0.1,19.5,2.6,3.6
Angola,,3,9,101.6,167.4,29.2,322,372,100.9,42.0,2.4,15.7,1.7,3.8
Lesotho,53.5,3,8,73.0,98.0,39.0,492,577,,17.0,22.9,15.5,0.5,11.5
Liberia,55.2,3,26,53.6,71.1,41.8,240,279,69.2,46.0,1.1,15.4,0.1,10.0
Eritrea,68.7,3,4,36.1,49.9,50.3,229,301,3.6,4.6,0.6,15.1,0.5,3.0
Organisation for Economic Co-operation and Development,,3,7,6.5,7.6,,60,113,,0.9,,23.4,27.0,12.3
Estonia,,4,6,2.7,3.4,,64,195,,2.8,1.3,20.2,32.6,5.7
Brunei Darussalam,,4,1,8.4,9.9,,69,101,,3.0,,21.4,15.0,2.5
Latvia,,4,4,7.4,8.4,,85,224,,2.6,,19.1,28.8,5.7
Romania,15.8,4,8,10.5,12.0,12.8,81,205,,5.6,0.1,19.4,23.9,5.3
Bulgaria,,4,6,10.1,11.6,8.8,83,189,,2.0,,18.8,38.1,7.6
Saint Vincent and the Grenadines,,4,1,17.2,19.0,,110,169,,2.6,,19.7,5.3,5.2
Belize,14.7,4,1,14.3,16.7,19.3,78,145,0.0,4.3,1.5,21.5,8.3,5.4
Moldova (Republic of),36.4,4,9,13.3,15.4,11.3,106,277,,18.0,0.6,16.2,28.6,11.8
Senegal,39.0,4,16,43.9,55.3,19.2,192,244,59.5,20.0,0.5,16.2,0.6,4.2
Malawi,71.4,4,12,44.2,67.9,47.8,290,362,62.9,9.0,10.3,17.0,0.2,8.3
Israel,,5,3,3.2,4.0,,41,72,,0.2,,24.3,33.5,7.2
Azerbaijan,11.8,5,2,29.9,34.2,26.8,83,167,0.1,4.2,0.2,18.3,34.3,5.6
Bosnia and Herzegovina,18.5,5,6,5.7,6.6,8.9,64,138,,5.2,,20.2,16.9,9.6
Suriname,2.8,5,7,20.3,22.8,8.8,94,171,1.2,2.6,0.9,18.5,9.1,4.8
Kiribati,69.0,5,9,45.1,58.2,,134,206,,17.0,,17.4,3.8,10.1
Cambodia,73.5,5,10,32.5,37.9,40.9,157,210,3.7,63.0,0.7,23.8,2.3,7.5
Cameroon,20.4,5,17,60.8,94.5,32.6,341,370,64.7,29.0,4.3,16.4,0.8,5.1
Mauritania,26.9,5,20,67.1,90.1,22.0,187,234,67.2,93.0,,16.4,1.3,3.8
Latin America and the Caribbean,35.0,5,8,15.2,17.9,13.9,96,177,0.6,3.0,0.5,21.2,18.9,7.6
United Arab Emirates,,6,6,7.0,8.2,,59,84,,0.1,,19.8,19.3,3.2
Trinidad and Tobago,12.8,6,9,19.0,21.3,5.3,129,229,,2.1,1.7,17.8,11.8,5.3
Namibia,23.9,6,18,35.2,49.8,29.6,177,255,0.1,14.0,14.3,17.3,3.7,7.7
Ghana,45.7,6,11,52.3,78.4,22.7,222,261,67.0,6.9,1.3,15.5,1.0,5.4
Nepal,69.6,6,12,32.2,39.7,40.5,159,192,0.2,20.0,0.2,17.1,2.1,6.0
Yemen,10.3,6,22,40.4,51.3,46.6,211,255,10.0,5.6,0.1,16.2,2.0,5.4
